	gender
1061	1
1062	0
1063	0
1064	0
1065	0
1066	0
1067	0
1068	0
1069	1
1070	0
1071	0
1072	0
1073	1
1074	1
1075	1
1076	0
1077	0
1078	1
1079	1
1080	0
1081	0
1082	0
1083	1
1084	0
1085	1
1086	0
1087	1
1088	0
1089	0
1090	1
1091	0
1092	0
1093	0
1094	0
1095	0
1096	0
1097	0
1098	0
1099	1
1100	0
1101	1
1102	0
1103	0
1104	0
1105	1
1106	0
1107	1
1108	1
1109	1
1110	0
1111	1
1112	0
1113	1
1114	0
1115	0
1116	1
1117	0
1118	0
1119	1
1120	0
1121	1
1122	0
1123	1
1124	0
1125	1
1126	1
1127	0
1128	1
1129	1
1130	0
1131	1
1132	0
1133	0
1134	0
1135	0
1136	0
1137	1
1138	0
1139	0
1140	0
1141	0
1142	0
1143	1
1144	0
1145	0
1146	0
1147	0
1148	0
1149	0
1150	1
1151	1
1152	1
1153	0
1154	0
1155	1
1156	1
1157	1
1158	0
1159	1
1160	1
1161	1
1162	0
1163	1
1164	0
1165	0
1166	1
1167	0
1168	0
1169	0
1170	0
1171	0
1172	0
1173	0
1174	0
1175	0
1176	0
1177	0
1178	0
1179	0
1180	1
1181	0
1182	0
1183	0
1184	0
1185	0
1186	1
1187	1
1188	1
1189	1
1190	0
1191	0
1192	0
1193	0
1194	0
1195	0
1196	1
1197	1
1198	0
1199	0
1200	1
1201	0
1202	1
1203	1
1204	0
1205	1
1206	0
1207	1
1208	0
1209	0
1210	0
1211	0
1212	0
1213	1
1214	0
1215	0
1216	1
1217	0
1218	0
1219	0
1220	1
1221	0
1222	0
1223	1
1224	0
1225	1
1226	0
1227	0
1228	0
1229	0
1230	1
1231	1
1232	0
1233	0
1234	1
1235	1
1236	0
1237	0
1238	0
1239	0
1240	0
1241	0
1242	0
1243	1
1244	0
1245	0
1246	1
1247	0
1248	1
1249	0
1250	0
1251	0
1252	0
1253	1
1254	0
1255	0
1256	0
1257	1
1258	1
1259	0
1260	1
1261	0
1262	1
1263	1
1264	0
1265	0
1266	1
1267	0
1268	0
1269	1
1270	0
1271	0
1272	1
1273	1
1274	0
1275	1
1276	0
1277	0
1278	0
1279	0
1280	0
1281	0
1282	0
1283	1
1284	1
1285	0
1286	1
1287	1
1288	1
1289	0
1290	1
1291	1
1292	0
1293	0
1294	1
1295	0
1296	1
1297	1
1298	0
1299	0
1300	0
1301	1
1302	1
1303	0
1304	1
1305	0
1306	0
1307	0
1308	0
1309	0
1310	1
1311	0
1312	0
1313	0
1314	1
1315	0
1316	0
1317	0
1318	1
1319	0
1320	0
1321	1
1322	1
1323	0
1324	1
1325	1
1326	1
1327	1
1328	0
1329	0
1330	1
1331	0
1332	1
1333	1
1334	0
1335	0
1336	1
1337	0
1338	1
1339	1
1340	0
1341	1
1342	1
1343	1
1344	1
1345	0
1346	0
1347	0
1348	0
1349	0
1350	0
1351	1
1352	0
1353	1
1354	0
1355	0
1356	0
1357	0
1358	1
1359	1
1360	0
1361	0
1362	0
1363	1
1364	0
1365	0
1366	0
1367	1
1368	1
1369	0
1370	1
1371	0
1372	0
1373	0
1374	1
1375	1
1376	0
1377	0
1378	0
1379	0
1380	0
1381	0
1382	1
1383	0
1384	0
1385	1
1386	0
1387	1
1388	1
1389	1
1390	1
1391	1
1392	1
1393	1
1394	1
1395	0
1396	1
1397	0
1398	0
1399	0
1400	1
1401	0
1402	0
1403	1
1404	1
1405	0
1406	0
1407	0
1408	0
1409	1
1410	0
1411	0
1412	1
1413	1
1414	0
1415	1
1416	0
1417	0
1418	1
1419	0
1420	0
1421	1
1422	0
1423	0
1424	0
1425	0
1426	0
1427	0
1428	0
1429	1
1430	1
1431	0
1432	0
1433	0
1434	0
1435	0
1436	0
1437	0
1438	0
1439	0
1440	0
1441	1
1442	1
1443	0
1444	0
1445	1
1446	0
1447	1
1448	0
1449	1
1450	1
1451	0
1452	0
1453	1
1454	0
1455	1
1456	1
1457	0
1458	1
1459	1
1460	1
1461	0
1462	1
1463	0
1464	0
1465	0
1466	0
1467	0
1468	0
1469	0
1470	0
1471	0
1472	0
1473	1
1474	0
1475	1
1476	0
1477	1
1478	0
1479	0
1480	1
1481	0
1482	0
1483	0
1484	1
1485	0
1486	1
1487	1
1488	1
1489	0
1490	1
1491	1
1492	1
1493	1
1494	0
1495	0
1496	1
1497	0
1498	0
1499	0
1500	0
1501	0
1502	1
1503	0
1504	1
1505	0
1506	1
1507	0
1508	0
1509	0
1510	1
1511	0
1512	0
1513	0
1514	1
1515	1
1516	1
1517	0
1518	0
1519	0
1520	0
1521	0
1522	0
1523	0
1524	1
1525	0
1526	0
1527	0
1528	1
1529	1
1530	1
1531	0
1532	0
1533	0
1534	1
1535	0
1536	0
1537	0
1538	0
1539	0
1540	1
1541	1
1542	0
1543	1
1544	0
1545	1
1546	0
1547	0
1548	0
1549	0
1550	0
1551	1
1552	0
1553	0
1554	0
1555	0
1556	1
1557	1
1558	0
1559	0
1560	1
1561	0
1562	0
1563	0
1564	1
1565	0
1566	0
1567	1
1568	0
1569	1
1570	0
1571	0
1572	0
1573	1
1574	0
1575	0
1576	1
1577	0
1578	0
1579	1
1580	0
1581	1
1582	0
1583	1
1584	1
1585	0
1586	0
1587	1
1588	0
1589	0
1590	0
1591	1
1592	0
1593	0
1594	1
1595	0
1596	0
1597	0
1598	1
1599	1
1600	0
1601	1
1602	1
1603	1
1604	1
1605	1
1606	0
1607	0
1608	0
1609	0
1610	1
1611	0
1612	0
1613	0
1614	0
1615	1
1616	1
1617	1
1618	1
1619	0
1620	0
1621	1
1622	1
1623	0
1624	1
1625	0
1626	1
1627	0
1628	1
1629	1
1630	1
1631	0
1632	0
1633	1
1634	0
1635	0
1636	0
1637	0
1638	1
1639	1
1640	1
1641	0
1642	1
1643	1
1644	0
1645	1
1646	1
1647	0
1648	0
1649	1
1650	1
1651	0
1652	0
1653	0
1654	1
1655	0
1656	1
1657	1
1658	0
1659	0
1660	0
1661	1
1662	0
1663	1
1664	0
1665	0
1666	1
1667	1
1668	0
1669	1
1670	0
1671	1
1672	0
1673	1
1674	1
1675	0
1676	0
1677	0
1678	0
1679	0
1680	1
1681	1
1682	0
1683	0
1684	1
1685	0
1686	0
1687	0
1688	0
1689	0
1690	0
1691	0
1692	1
1693	1
1694	0
1695	1
1696	0
1697	1
1698	0
1699	1
1700	0
1701	0
1702	0
1703	1
1704	0
1705	0
1706	0
1707	0
1708	1
1709	1
1710	0
1711	0
1712	1
1713	0
1714	1
1715	0
1716	0
1717	1
1718	1
1719	0
1720	1
1721	1
1722	0
1723	0
1724	1
1725	0
1726	1
1727	1
1728	0
1729	1
1730	1
1731	0
1732	0
1733	0
1734	0
1735	0
1736	1
1737	1
1738	1
1739	0
1740	0
1741	0
1742	0
1743	1
1744	1
1745	0
1746	0
1747	0
1748	0
1749	0
1750	0
1751	0
1752	0
1753	0
1754	1
1755	0
1756	1
1757	1
1758	0
1759	1
1760	0
1761	0
1762	0
1763	1
1764	0
1765	0
1766	1
1767	0
1768	0
1769	0
1770	1
1771	0
1772	0
1773	1
1774	1
1775	0
1776	0
1777	0
1778	0
1779	0
1780	1
1781	0
1782	1
1783	1
1784	0
1785	0
1786	0
1787	1
1788	0
1789	1
1790	0
1791	1
1792	0
1793	0
1794	0
1795	0
1796	1
1797	0
1798	1
1799	0
1800	0
1801	0
1802	1
1803	0
1804	0
1805	0
1806	1
1807	1
1808	0
1809	0
1810	0
1811	1
1812	0
1813	0
1814	0
1815	0
1816	0
1817	0
1818	1
1819	1
1820	0
1821	0
1822	1
1823	1
1824	0
1825	0
1826	0
1827	1
1828	0
1829	0
1830	1
1831	0
1832	0
1833	0
1834	1
1835	0
1836	0
1837	0
1838	0
1839	1
1840	1
1841	1
1842	0
1843	0
1844	0
1845	0
1846	0
1847	0
1848	1
1849	1
1850	0
1851	1
1852	1
1853	0
1854	0
1855	0
1856	1
1857	1
1858	1
1859	0
1860	0
1861	1
1862	1
1863	1
1864	0
1865	1
1866	1
1867	0
1868	1
1869	0
1870	0
1871	0
1872	1
1873	0
1874	1
1875	0
1876	0
1877	0
1878	1
1879	1
1880	1
1881	0
1882	0
1883	1
1884	0
1885	1
1886	1
1887	1
1888	1
1889	1
1890	0
1891	0
1892	1
1893	1
1894	1
1895	0
1896	1
1897	0
1898	0
1899	0
1900	1
1901	1
1902	1
1903	1
1904	1
1905	0
1906	1
1907	1
1908	0
1909	1
1910	0
1911	0
1912	1
1913	1
1914	1
1915	0
1916	1
1917	1
1918	0
1919	0
1920	1
1921	1
1922	0
1923	0
1924	0
1925	0
1926	0
1927	0
1928	1
1929	0
1930	1
1931	1
1932	0
1933	1
1934	1
1935	0
1936	1
1937	0
1938	1
1939	1
1940	1
1941	1
1942	0
1943	0
1944	0
1945	0
1946	0
1947	1
1948	1
1949	0
1950	0
1951	0
1952	1
1953	0
1954	0
1955	1
1956	1
1957	1
1958	1
1959	0
1960	0
1961	0
1962	1
1963	1
1964	0
1965	0
1966	0
1967	0
1968	1
1969	1
1970	0
1971	0
1972	0
1973	0
1974	0
1975	1
1976	1
1977	1
1978	0
1979	1
1980	0
1981	1
1982	0
1983	1
1984	1
1985	0
1986	1
1987	1
1988	1
1989	1
1990	1
1991	0
1992	1
1993	1
1994	1
1995	1
1996	1
1997	0
1998	1
1999	0
2000	0
2001	1
2002	1
2003	1
2004	1
2005	1
2006	0
2007	0
2008	0
2009	0
2010	0
2011	0
2012	0
2013	1
2014	1
2015	1
2016	0
2017	0
2018	0
2019	0
2020	1
2021	1
2022	0
2023	0
2024	0
2025	0
2026	0
2027	1
2028	0
2029	0
2030	0
2031	0
2032	0
2033	1
2034	1
2035	1
2036	0
2037	1
2038	0
2039	1
2040	1
2041	1
2042	0
2043	1
2044	1
2045	0
2046	1
2047	0
2048	0
2049	0
2050	1
2051	0
2052	0
2053	0
2054	0
2055	1
2056	0
2057	1
2058	0
2059	1
2060	0
2061	0
2062	0
2063	0
2064	0
2065	0
2066	1
2067	1
2068	0
2069	0
2070	0
2071	1
2072	1
2073	0
2074	0
2075	1
2076	1
2077	0
2078	1
2079	1
2080	0
2081	1
2082	1
2083	0
2084	0
2085	0
2086	1
2087	0
2088	0
2089	0
2090	1
2091	0
2092	1
2093	1
2094	0
2095	1
2096	0
2097	0
2098	1
2099	0
2100	1
2101	0
2102	0
2103	0
2104	0
2105	0
2106	1
2107	0
2108	0
2109	1
2110	0
2111	1
2112	1
2113	0
2114	0
2115	1
2116	0
2117	0
2118	0
2119	1
2120	0
2121	1
2122	1
2123	1
2124	1
2125	0
2126	1
2127	0
2128	0
2129	0
2130	0
2131	0
2132	0
2133	0
2134	1
2135	1
2136	1
2137	1
2138	1
2139	0
2140	1
2141	1
2142	1
2143	1
2144	0
2145	1
2146	1
2147	0
2148	0
2149	0
2150	0
2151	0
2152	1
2153	1
2154	0
2155	0
2156	0
2157	0
2158	1
2159	0
2160	1
2161	0
2162	0
2163	1
2164	1
2165	1
2166	1
2167	0
2168	1
2169	1
2170	0
2171	1
2172	0
2173	1
2174	0
2175	0
2176	1
2177	0
2178	0
2179	1
2180	1
2181	0
2182	0
2183	1
2184	0
2185	0
2186	0
2187	0
2188	0
2189	1
2190	1
2191	0
2192	1
2193	0
2194	1
2195	0
2196	0
2197	1
2198	0
2199	1
2200	0
2201	0
2202	0
2203	0
2204	0
2205	0
2206	0
2207	0
2208	1
2209	1
2210	0
2211	1
2212	0
2213	0
2214	1
2215	1
2216	0
2217	1
2218	1
2219	0
2220	0
2221	1
2222	1
2223	0
2224	0
2225	0
2226	1
2227	0
2228	1
2229	1
2230	0
2231	1
2232	0
2233	0
2234	1
2235	0
2236	1
2237	0
2238	1
2239	0
2240	0
2241	0
2242	1
2243	1
2244	0
2245	1
2246	0
2247	0
2248	1
2249	0
2250	0
2251	0
2252	1
2253	0
2254	0
2255	0
2256	1
2257	0
2258	0
2259	1
2260	0
2261	0
2262	1
2263	1
2264	1
2265	0
2266	1
2267	0
2268	0
2269	1
2270	0
2271	0
2272	0
2273	0
2274	0
2275	1
2276	0
2277	0
2278	0
2279	0
2280	1
2281	0
2282	0
2283	0
2284	0
2285	1
2286	0
2287	1
2288	1
2289	1
2290	1
2291	0
2292	1
2293	1
2294	0
2295	0
2296	0
2297	1
2298	1
2299	1
2300	1
2301	1
2302	1
2303	1
2304	1
2305	0
2306	1
2307	0
2308	1
2309	1
2310	1
2311	0
2312	0
2313	1
2314	1
2315	1
2316	0
2317	1
2318	0
2319	0
2320	1
2321	0
2322	1
2323	0
2324	0
2325	0
2326	0
2327	1
2328	1
2329	1
2330	1
2331	1
2332	1
2333	0
2334	0
2335	1
2336	0
2337	0
2338	0
2339	1
2340	1
2341	0
2342	1
2343	0
2344	1
2345	0
2346	1
2347	0
2348	0
2349	0
2350	0
2351	0
2352	1
2353	1
2354	1
2355	1
2356	1
2357	0
2358	1
2359	0
2360	0
2361	1
2362	0
2363	0
2364	1
2365	1
2366	0
2367	1
2368	1
2369	1
2370	1
2371	0
2372	1
2373	1
2374	1
2375	0
2376	0
2377	1
2378	1
2379	0
2380	0
2381	1
2382	1
2383	1
2384	0
2385	0
2386	0
2387	1
2388	0
2389	0
2390	1
2391	1
2392	1
2393	1
2394	1
2395	0
2396	0
2397	0
2398	0
2399	0
2400	0
2401	1
2402	0
2403	0
2404	1
2405	1
2406	0
2407	1
2408	0
2409	0
2410	0
2411	1
2412	1
2413	1
2414	0
2415	1
2416	1
2417	1
2418	0
2419	0
2420	0
2421	1
2422	0
2423	0
2424	0
2425	0
2426	1
2427	0
2428	0
2429	1
2430	1
2431	1
2432	0
2433	0
2434	0
2435	0
2436	1
2437	0
2438	1
2439	1
2440	0
2441	1
2442	0
2443	1
2444	1
2445	1
2446	0
2447	1
2448	0
2449	1
2450	1
2451	0
2452	0
2453	0
2454	0
2455	0
2456	0
2457	0
2458	0
2459	0
2460	0
2461	0
2462	1
2463	0
2464	0
2465	0
2466	0
2467	0
2468	1
2469	0
2470	1
2471	0
2472	0
2473	1
2474	0
2475	0
2476	0
2477	1
2478	0
2479	1
2480	1
2481	1
2482	1
2483	0
2484	0
2485	1
2486	0
2487	0
2488	0
2489	0
2490	1
2491	0
2492	0
2493	0
2494	0
2495	0
2496	0
2497	1
2498	0
2499	0
2500	1
2501	0
2502	1
2503	0
2504	0
2505	0
2506	0
2507	0
2508	0
2509	1
2510	0
2511	0
2512	0
2513	1
2514	1
2515	0
2516	1
2517	0
2518	0
2519	1
2520	0
2521	0
2522	1
2523	0
2524	0
2525	1
2526	0
2527	1
2528	0
2529	0
2530	0
2531	0
2532	1
2533	0
2534	0
2535	0
2536	1
2537	0
2538	0
2539	1
2540	0
2541	0
2542	1
2543	0
2544	1
2545	1
2546	0
2547	1
2548	1
2549	1
2550	0
2551	0
2552	1
2553	0
2554	1
2555	1
2556	1
2557	0
2558	0
2559	0
2560	0
2561	0
2562	0
2563	0
2564	0
2565	0
2566	0
2567	1
2568	0
2569	1
2570	1
2571	0
2572	1
2573	0
2574	1
2575	1
2576	0
2577	0
2578	1
2579	1
2580	1
2581	0
2582	1
2583	0
2584	1
2585	1
2586	0
2587	0
2588	1
2589	0
2590	1
2591	1
2592	1
2593	0
2594	0
2595	0
2596	1
2597	0
2598	0
2599	0
2600	0
2601	0
2602	0
2603	1
2604	0
2605	1
2606	1
2607	0
2608	0
2609	0
2610	0
2611	1
2612	1
2613	0
2614	0
2615	0
2616	0
2617	0
2618	0
2619	1
2620	1
2621	0
2622	1
2623	1
2624	1
2625	0
2626	1
2627	1
2628	0
2629	0
2630	1
2631	0
2632	0
2633	1
2634	1
2635	1
2636	1
2637	0
2638	0
2639	0
2640	0
2641	1
2642	1
2643	0
2644	1
2645	0
2646	0
2647	1
2648	0
2649	0
2650	0
2651	0
2652	0
2653	1
2654	0
2655	1
2656	0
2657	0
2658	0
2659	0
2660	1
2661	0
2662	0
2663	0
2664	0
2665	0
2666	0
2667	1
2668	1
2669	1
2670	1
2671	0
2672	1
2673	0
2674	1
2675	0
2676	0
2677	0
2678	1
2679	0
2680	0
2681	0
2682	0
2683	0
2684	0
2685	1
2686	1
2687	0
2688	0
2689	1
2690	0
2691	1
2692	0
2693	1
2694	1
2695	1
2696	1
2697	0
2698	0
2699	0
2700	0
2701	1
2702	0
2703	1
2704	1
2705	0
2706	1
2707	0
2708	0
2709	0
2710	0
2711	0
2712	1
2713	0
2714	0
2715	0
2716	0
2717	0
2718	0
2719	1
2720	1
2721	0
2722	1
2723	0
2724	0
2725	0
2726	0
2727	0
2728	0
2729	0
2730	0
2731	1
2732	1
2733	1
2734	0
2735	1
2736	1
2737	0
2738	0
2739	0
2740	0
2741	1
2742	0
2743	1
2744	0
2745	0
2746	0
2747	1
2748	1
2749	1
2750	0
2751	0
2752	0
2753	0
2754	1
2755	0
2756	0
2757	0
2758	0
2759	0
2760	0
2761	0
2762	0
2763	0
2764	0
2765	0
2766	1
2767	1
2768	0
2769	1
2770	0
2771	1
2772	0
2773	1
2774	0
2775	1
2776	0
2777	0
2778	1
2779	0
2780	0
2781	0
2782	1
2783	0
2784	0
2785	1
2786	1
2787	1
2788	1
2789	1
2790	0
2791	0
2792	1
2793	0
2794	1
2795	0
2796	0
2797	1
2798	0
2799	0
2800	1
2801	1
2802	0
2803	1
2804	1
2805	1
2806	0
2807	1
2808	0
2809	0
2810	1
2811	0
2812	0
2813	0
2814	0
2815	0
2816	0
2817	0
2818	0
2819	1
2820	0
2821	1
2822	1
2823	0
2824	1
2825	0
2826	0
2827	1
2828	1
2829	0
2830	1
2831	0
2832	1
2833	0
2834	0
2835	1
2836	0
2837	0
2838	0
2839	0
2840	1
2841	0
2842	0
2843	1
2844	0
2845	0
2846	0
2847	1
2848	0
2849	0
2850	0
2851	0
2852	1
2853	0
2854	0
2855	0
2856	1
2857	1
2858	0
2859	1
2860	0
2861	0
2862	0
2863	0
2864	0
2865	1
2866	1
2867	1
2868	0
2869	0
2870	0
2871	0
2872	0
2873	1
2874	1
2875	1
2876	0
2877	0
2878	1
2879	0
2880	0
2881	0
2882	0
2883	1
2884	0
2885	0
2886	1
2887	0
2888	1
2889	1
2890	1
2891	1
2892	1
2893	0
2894	0
2895	1
2896	1
2897	1
2898	0
2899	1
2900	1
2901	1
2902	1
2903	1
2904	1
2905	1
2906	0
2907	0
2908	0
2909	1
2910	0
2911	1
2912	0
2913	1
2914	0
2915	0
2916	1
2917	0
2918	0
2919	0
2920	1
2921	0
2922	0
2923	1
2924	0
2925	0
2926	0
2927	0
2928	0
2929	0
2930	0
2931	0
2932	0
2933	1
2934	1
2935	1
2936	1
2937	1
2938	1
2939	0
2940	0
2941	1
2942	0
2943	1
2944	0
2945	1
2946	1
2947	0
2948	1
2949	1
2950	0
2951	0
2952	0
2953	0
2954	0
2955	0
2956	0
2957	1
2958	0
2959	1
2960	1
2961	1
2962	1
2963	1
2964	0
2965	1
2966	0
2967	1
2968	1
2969	0
2970	1
2971	0
2972	1
2973	1
2974	1
2975	1
2976	0
2977	0
2978	0
2979	1
2980	1
2981	1
2982	1
2983	0
2984	0
2985	0
2986	0
2987	0
2988	0
2989	1
2990	1
2991	0
2992	1
2993	0
2994	1
2995	0
2996	0
2997	0
